id;imie;nazwisko;miasto;ilosc;kwota;wspolczynnik
8307;Ewa;Kowalczyk;Warszawa;480;547.88;1.000
8308;Barbara;Kozłowski;Wrocław;494;1449.42;0.600
8309;Barbara;Lewandowski;Katowice;48;4806.56;0.577
8310;Joanna;Mazur;Łódź;243;3619.62;0.382
8311;Marcin;Kowalski;Wrocław;3;548.10;0.411
8312;Anna;Kamiński;Łódź;345;362.44;0.292
8313;Barbara;Dąbrowski;Kraków;198;2409.81;1.000
8314;Paweł;Wiśniewski;Wrocław;189;1098.92;1.000
8315;Marcin;Wójcik;Gdańsk;37;604.22;1.000
8316;Andrzej;Nowak;Gdańsk;60;2368.41;0.974
8317;Ewa;Dąbrowski;Lublin;51;4925.55;1.000
8318;Jan;Kowalski;Wrocław;84;3423.06;1.000
8319;Krzysztof;Nowak;Warszawa;263;3029.44;1.000
8320;Marcin;Nowak;Poznań;252;1694.15;0.700
8321;Anna;Kamiński;Poznań;234;1055.52;1.000
8322;Michał;Szymański;Gdańsk;163;1699.10;1.000
8323;Marcin;Szymański;Wrocław;172;967.60;0.160
8324;Piotr;Zieliński;Katowice;419;2613.23;0.338
8325;Maria;Kwiatkowski;Kraków;252;0.00;0.126
8326;Katarzyna;Lewandowski;Kraków;134;3837.65;0.267
8327;Barbara;Kwiatkowski;Katowice;249;1853.52;0.173
8328;Piotr;Kowalski;Lublin;487;3937.38;0.954
8329;Krzysztof;Mazur;Poznań;157;3215.03;1.000
8330;Joanna;Mazur;Warszawa;365;222.16;1.000
8331;Maria;Nowak;Łódź;218;2920.85;1.000
8332;Magdalena;Mazur;Kraków;282;2755.71;0.257
8333;Jan;Kwiatkowski;Wrocław;77;236.00;0.335
8334;Maria;Zieliński;Gdańsk;425;1501.46;0.323
8335;Michał;Kwiatkowski;Warszawa;462;4651.86;0.130
8336;Andrzej;Mazur;Poznań;411;1578.64;0.133
8337;Piotr;Wiśniewski;Lublin;123;2653.54;1.000
8338;Anna;Kozłowski;Łódź;327;3395.70;1.000
8339;Magdalena;Szymański;Poznań;152;372.11;0.551
8340;Jan;Nowak;Gdańsk;434;582.25;1.000
8341;Katarzyna;Kowalczyk;Poznań;66;2087.52;0.163
8342;Marcin;Kamiński;Katowice;188;2418.25;0.191
8343;Andrzej;Dąbrowski;Lublin;34;3708.97;1.000
8344;Magdalena;Kozłowski;Łódź;78;3286.68;1.000
8345;Michał;Lewandowski;Poznań;17;3567.14;0.900
8346;Paweł;Mazur;Lublin;499;786.62;0.697
8347;Jan;Kowalski;Kraków;416;3638.49;1.000
8348;Agnieszka;Kowalski;Poznań;104;4149.65;0.501
8349;Tomasz;Nowak;Poznań;330;629.75;0.598
8350;Agnieszka;Zieliński;Katowice;117;562.62;1.000
8351;Maria;Szymański;Gdańsk;493;1986.85;0.404
8352;Agnieszka;Kowalczyk;Wrocław;103;1160.64;1.000
8353;Joanna;Kowalczyk;Lublin;490;4618.89;1.000
8354;Agnieszka;Woźniak;Katowice;459;4658.23;1.000
8355;Agnieszka;Kowalski;Poznań;90;127.29;0.173
8356;Magdalena;Kamiński;Gdańsk;370;4941.37;1.000
8357;Piotr;Kamiński;Poznań;279;3602.65;0.323
8358;Piotr;Szymański;Kraków;374;2191.90;1.000
8359;Maria;Kwiatkowski;Katowice;262;731.80;1.000
8360;Michał;Mazur;Gdańsk;252;4653.10;0.300
8361;Ewa;Kamiński;Katowice;427;2658.10;1.000
8362;Joanna;Dąbrowski;Gdańsk;252;4656.23;1.000
8363;Anna;Kamiński;Katowice;389;2894.92;0.271
8364;Tomasz;Kwiatkowski;Warszawa;309;223.44;0.927
8365;Piotr;Wójcik;Gdańsk;336;1407.56;0.956
8366;Andrzej;Kowalczyk;Łódź;320;3996.66;0.820
8367;Jan;Dąbrowski;Lublin;264;2683.52;0.525
8368;Katarzyna;Woźniak;Katowice;148;2691.72;1.000
8369;Ewa;Wiśniewski;Lublin;56;1383.66;0.192
8370;Michał;Lewandowski;Wrocław;20;463.63;0.778
8371;Andrzej;Zieliński;Gdańsk;241;2536.74;1.000
8372;Marcin;Kamiński;Warszawa;-449;2153.98;0.725
8373;Krzysztof;Kwiatkowski;Warszawa;9;2571.59;0.374
8374;Piotr;Wiśniewski;Warszawa;104;4153.23;0.607
8375;Anna;Mazur;Lublin;454;1498.93;0.371
8376;Magdalena;Wójcik;Katowice;358;4700.55;0.849
8377;Agnieszka;Dąbrowski;Warszawa;316;963.45;0.444
8378;Katarzyna;Wójcik;Warszawa;343;4431.62;1.000
8379;Ewa;Szymański;Poznań;333;1985.11;1.000
8380;Joanna;Kowalczyk;Katowice;191;490.56;0.841
8381;Magdalena;Kowalski;Warszawa;185;3099.58;0.830
8382;Magdalena;Nowak;Kraków;115;226.37;1.000
8383;Piotr;Zieliński;Wrocław;328;793.61;1.000
8384;Andrzej;Dąbrowski;Lublin;365;4204.29;0.841
8385;Michał;Kowalski;Wrocław;213;352.39;0.548
8386;Marcin;Woźniak;Wrocław;163;1775.57;1.000
8387;Paweł;Mazur;Wrocław;349;3215.04;1.000
8388;Maria;Lewandowski;Warszawa;379;1922.34;1.000
8389;Anna;Kowalski;Gdańsk;69;4273.67;0.195
8390;Marcin;Kamiński;Wrocław;84;716.00;0.374
8391;Anna;Kamiński;Łódź;371;978.31;1.000
8392;Maria;Kowalczyk;Warszawa;419;827.80;0.972
8393;Barbara;Woźniak;Katowice;37;3334.07;0.846
8394;Joanna;Kwiatkowski;Katowice;275;1979.90;1.000
8395;Anna;Nowak;Gdańsk;117;126.38;0.781
8396;Barbara;Kamiński;Łódź;63;1818.64;0.638
8397;Tomasz;Kozłowski;Lublin;129;74.27;0.299
8398;Magdalena;Lewandowski;Wrocław;376;4018.09;1.000
8399;Jan;Kowalczyk;Lublin;252;1488.30;0.982
8400;Brak danych;Wójcik;Brak danych;220;3447.31;0.548
8401;Maria;Dąbrowski;Wrocław;333;1008.32;0.157
8402;Marcin;Lewandowski;Wrocław;245;2962.27;0.103
8403;Tomasz;Dąbrowski;Wrocław;428;734.17;0.851
8404;Jan;Woźniak;Kraków;266;3648.23;0.333
8405;Ewa;Kamiński;Łódź;371;2505.87;1.000
8406;Katarzyna;Wójcik;Warszawa;371;4082.87;0.350
8407;Piotr;Kowalczyk;Gdańsk;443;2489.85;1.000
8408;Michał;Szymański;Katowice;244;4913.33;1.000
8409;Paweł;Nowak;Wrocław;269;3686.34;1.000
8410;Maria;Zieliński;Lublin;230;2476.15;0.325
8411;Andrzej;Mazur;Kraków;382;4601.11;1.000
8412;Krzysztof;Kowalski;Łódź;427;731.58;0.209
8413;Tomasz;Nowak;Katowice;274;3484.61;1.000
8414;Agnieszka;Wiśniewski;Poznań;325;2701.50;1.000
8415;Katarzyna;Lewandowski;Warszawa;240;4582.31;0.405
8416;Katarzyna;Woźniak;Warszawa;6;1685.19;1.000
8417;Paweł;Dąbrowski;Łódź;325;3597.11;1.000
8418;Barbara;Woźniak;Warszawa;421;18.47;0.140
8419;Paweł;Kowalczyk;Lublin;125;705.12;1.000
8420;Paweł;Lewandowski;Wrocław;406;3484.69;0.598
8421;Barbara;Mazur;Kraków;152;3012.70;1.000
8422;Joanna;Mazur;Kraków;68;1334.71;0.451
8423;Paweł;Wójcik;Lublin;350;384.67;0.372
8424;Jan;Szymański;Lublin;361;438.04;0.408
8425;Anna;Kozłowski;Wrocław;60;244.23;0.952
8426;Krzysztof;Wójcik;Katowice;465;3029.69;0.504
8427;Joanna;Kwiatkowski;Gdańsk;360;1343.18;0.676
8428;Piotr;Lewandowski;Katowice;39;3552.45;1.000
8429;Anna;Dąbrowski;Warszawa;366;2308.63;0.759
8430;Andrzej;Lewandowski;Łódź;11;2565.42;0.587
8431;Katarzyna;Wiśniewski;Poznań;132;3846.94;1.000
8432;Tomasz;Woźniak;Lublin;76;2389.57;0.969
8433;Andrzej;Woźniak;Poznań;299;2306.37;1.000
8434;Tomasz;Nowak;Gdańsk;423;855.45;1.000
8435;Andrzej;Szymański;Warszawa;439;1654.91;0.578
8436;Piotr;Zieliński;Wrocław;252;816.83;0.662
8437;Anna;Kowalski;Lublin;105;2995.05;1.000
8438;Michał;Kamiński;Warszawa;339;2723.44;0.372
8439;Ewa;Kozłowski;Poznań;16;4685.82;0.811
8440;Marcin;Zieliński;Katowice;110;1769.26;1.000
8441;Barbara;Kwiatkowski;Kraków;403;2424.21;0.450
8442;Maria;Wójcik;Poznań;332;4669.36;0.417
8443;Agnieszka;Nowak;Łódź;262;3808.97;0.197
8444;Anna;Wójcik;Łódź;446;3721.10;0.895
8445;Maria;Kamiński;Poznań;387;998.52;0.428
8446;Ewa;Wójcik;Poznań;41;3024.63;0.589
8447;Anna;Kamiński;Gdańsk;238;2650.06;0.510
8448;Magdalena;Dąbrowski;Poznań;143;4536.26;1.000
8449;Jan;Woźniak;Kraków;32;3935.21;0.263
8450;Maria;Mazur;Kraków;252;412.78;1.000
8451;Agnieszka;Lewandowski;Kraków;289;4359.74;1.000
8452;Krzysztof;Kwiatkowski;Kraków;312;3723.42;1.000
8453;Ewa;Nowak;Katowice;428;565.41;0.754
8454;Agnieszka;Woźniak;Wrocław;186;4133.67;1.000
8455;Marcin;Dąbrowski;Wrocław;31;2679.09;0.509
8456;Ewa;Dąbrowski;Łódź;136;2792.16;1.000
8457;Magdalena;Wiśniewski;Lublin;424;279.82;1.000
8458;Katarzyna;Woźniak;Katowice;76;4223.29;1.000
8459;Joanna;Kowalski;Gdańsk;306;3639.56;1.000
8460;Piotr;Wójcik;Wrocław;464;1016.95;0.252
8461;Barbara;Wiśniewski;Poznań;173;1164.67;1.000
8462;Michał;Wiśniewski;Gdańsk;105;1594.10;1.000
8463;Piotr;Wiśniewski;Katowice;-242;725.18;0.858
8464;Magdalena;Kwiatkowski;Poznań;107;284.97;1.000
8465;Krzysztof;Kamiński;Poznań;423;3580.86;0.360
8466;Katarzyna;Woźniak;Lublin;50;2328.59;1.000
8467;Krzysztof;Szymański;Kraków;321;115.20;0.828
8468;Barbara;Kwiatkowski;Łódź;274;519.81;0.752
8469;Katarzyna;Mazur;Lublin;500;2373.24;1.000
8470;Barbara;Kamiński;Łódź;252;3040.73;0.556
8471;Joanna;Wójcik;Lublin;50;2727.90;0.748
8472;Barbara;Kowalski;Poznań;371;1924.23;0.195
8473;Paweł;Kamiński;Poznań;252;182.19;0.934
8474;Barbara;Zieliński;Wrocław;197;4575.53;1.000
8475;Michał;Wiśniewski;Łódź;316;2898.38;1.000
8476;Maria;Lewandowski;Kraków;485;1918.62;1.000
8477;Magdalena;Nowak;Gdańsk;38;1791.22;1.000
8478;Katarzyna;Wiśniewski;Kraków;32;2247.84;0.783
8479;Ewa;Zieliński;Katowice;407;717.70;0.843
8480;Michał;Kamiński;Lublin;51;3257.09;0.201
8481;Katarzyna;Kamiński;Lublin;273;4398.28;1.000
8482;Joanna;Kamiński;Warszawa;479;3515.25;0.468
8483;Magdalena;Mazur;Gdańsk;228;3460.99;1.000
8484;Krzysztof;Lewandowski;Warszawa;405;209.57;1.000
8485;Magdalena;Kwiatkowski;Lublin;34;644.91;0.489
8486;Jan;Wójcik;Warszawa;74;1173.99;0.851
8487;Krzysztof;Nowak;Poznań;169;4858.86;0.808
8488;Agnieszka;Kowalczyk;Kraków;318;1764.70;0.266
8489;Anna;Woźniak;Poznań;142;1015.28;0.478
8490;Joanna;Wiśniewski;Gdańsk;90;2263.19;1.000
8491;Joanna;Lewandowski;Lublin;482;1644.43;0.829
8492;Katarzyna;Kowalczyk;Katowice;201;2420.81;1.000
8493;Agnieszka;Lewandowski;Poznań;249;1801.25;0.246
8494;Tomasz;Nowak;Kraków;109;2547.63;0.530
8495;Maria;Wójcik;Lublin;252;2284.11;1.000
8496;Michał;Szymański;Łódź;349;4045.02;0.911
8497;Katarzyna;Dąbrowski;Łódź;11;211.52;1.000
8498;Michał;Woźniak;Warszawa;366;4557.60;0.532
8499;Agnieszka;Kwiatkowski;Lublin;373;1724.86;1.000
8500;Barbara;Zieliński;Łódź;221;238.03;0.167
8501;Andrzej;Wójcik;Kraków;114;3951.73;0.446
8502;Jan;Wójcik;Lublin;7;1865.13;0.537
8503;Krzysztof;Kamiński;Wrocław;488;1086.85;0.454
8504;Joanna;Kozłowski;Łódź;289;1148.10;0.555
8505;Andrzej;Wiśniewski;Kraków;425;115.33;0.548
8506;Krzysztof;Kwiatkowski;Katowice;354;39.51;0.419
8507;Andrzej;Lewandowski;Gdańsk;186;1940.83;0.769
8508;Andrzej;Kowalski;Gdańsk;291;3581.48;0.328
8509;Agnieszka;Kowalczyk;Warszawa;46;3522.34;0.751
8510;Michał;Mazur;Katowice;252;3050.93;1.000
8511;Michał;Wiśniewski;Warszawa;208;3794.37;0.721
8512;Anna;Wiśniewski;Wrocław;151;4347.00;0.276
8513;Agnieszka;Zieliński;Lublin;294;4492.46;0.711
8514;Jan;Nowak;Kraków;225;4476.51;0.926
8515;Joanna;Woźniak;Katowice;65;3800.95;0.461
8516;Katarzyna;Zieliński;Poznań;91;356.53;1.000
8517;Magdalena;Zieliński;Łódź;239;3774.35;1.000
8518;Michał;Dąbrowski;Katowice;326;4211.47;0.128
8519;Andrzej;Zieliński;Kraków;130;4725.39;0.394
8520;Brak danych;Wiśniewski;Warszawa;289;1242.00;0.617
8521;Piotr;Wójcik;Lublin;268;1597.40;0.857
8522;Krzysztof;Zieliński;Gdańsk;349;3648.61;0.877
8523;Michał;Wiśniewski;Kraków;18;4776.93;1.000
8524;Paweł;Kowalski;Poznań;262;2957.14;0.698
8525;Krzysztof;Wójcik;Wrocław;21;3466.48;1.000
8526;Tomasz;Zieliński;Łódź;427;4930.80;0.559
8527;Maria;Zieliński;Wrocław;232;545.78;0.952
8528;Michał;Kamiński;Warszawa;117;4471.39;0.938
8529;Michał;Szymański;Poznań;271;3392.86;0.897
8530;Andrzej;Wiśniewski;Kraków;477;3572.18;0.171
8531;Marcin;Kowalski;Warszawa;175;3820.66;0.167
8532;Michał;Dąbrowski;Lublin;263;2477.57;0.288
8533;Krzysztof;Kowalski;Poznań;25;4267.34;0.310
8534;Michał;Woźniak;Warszawa;224;1704.16;0.158
8535;Tomasz;Dąbrowski;Warszawa;92;1711.27;1.000
8536;Maria;Mazur;Łódź;465;2375.55;1.000
8537;Marcin;Kamiński;Kraków;410;3879.06;0.877
8538;Barbara;Kamiński;Katowice;167;195.09;1.000
8539;Maria;Woźniak;Wrocław;5;2307.30;0.361
8540;Marcin;Kwiatkowski;Kraków;375;1771.87;1.000
8541;Marcin;Kowalski;Łódź;25;3763.56;0.810
8542;Anna;Dąbrowski;Katowice;242;1642.27;0.330
8543;Jan;Kozłowski;Łódź;389;393.63;0.266
8544;Magdalena;Mazur;Wrocław;429;2877.48;0.659
8545;Krzysztof;Wiśniewski;Wrocław;355;2158.71;1.000
8546;Jan;Mazur;Kraków;8;1967.19;0.552
8547;Michał;Lewandowski;Kraków;252;1824.91;0.197
8548;Piotr;Kozłowski;Warszawa;419;3018.07;0.402
8549;Maria;Mazur;Wrocław;363;4870.18;0.779
8550;Marcin;Woźniak;Łódź;32;531.10;0.291
8551;Tomasz;Szymański;Poznań;424;4486.59;0.402
8552;Andrzej;Kowalczyk;Poznań;327;3781.45;0.671
8553;Paweł;Szymański;Gdańsk;58;3200.79;0.716
8554;Tomasz;Woźniak;Lublin;-434;4393.49;0.529
8555;Marcin;Zieliński;Łódź;128;2476.15;0.736
8556;Anna;Zieliński;Gdańsk;383;886.01;0.203
8557;Andrzej;Kozłowski;Gdańsk;192;2848.24;0.484
8558;Jan;Kwiatkowski;Lublin;418;1001.37;0.319
8559;Katarzyna;Nowak;Lublin;327;4493.38;1.000
8560;Maria;Lewandowski;Warszawa;135;2120.79;1.000
8561;Katarzyna;Mazur;Warszawa;481;2265.68;0.230
8562;Paweł;Dąbrowski;Lublin;97;1831.43;0.282
8563;Tomasz;Szymański;Łódź;13;4853.96;1.000
8564;Joanna;Kwiatkowski;Gdańsk;264;4675.80;0.300
8565;Joanna;Kozłowski;Warszawa;372;4634.09;0.895
8566;Marcin;Szymański;Kraków;191;194.17;0.605
8567;Barbara;Nowak;Gdańsk;431;142.55;0.259
8568;Anna;Kowalczyk;Wrocław;240;3497.71;0.835
8569;Piotr;Wójcik;Gdańsk;132;3940.37;0.885
8570;Michał;Zieliński;Wrocław;42;4388.08;0.896
8571;Paweł;Mazur;Gdańsk;427;1174.38;0.466
8572;Jan;Nowak;Kraków;156;3181.86;0.780
8573;Krzysztof;Zieliński;Kraków;210;3089.38;0.979
8574;Maria;Kwiatkowski;Poznań;195;747.78;0.123
8575;Michał;Wójcik;Kraków;437;229.12;0.711
8576;Tomasz;Mazur;Wrocław;385;1891.63;1.000
8577;Tomasz;Kamiński;Łódź;274;3728.84;0.559
8578;Michał;Dąbrowski;Łódź;477;3112.24;1.000
8579;Tomasz;Szymański;Gdańsk;494;3156.70;0.737
8580;Marcin;Kozłowski;Wrocław;252;4741.34;1.000
8581;Anna;Kozłowski;Katowice;108;4772.46;0.976
8582;Andrzej;Lewandowski;Kraków;498;870.72;1.000
8583;Anna;Kamiński;Łódź;216;496.47;1.000
8584;Joanna;Kowalski;Gdańsk;252;4778.79;0.822
8585;Anna;Kowalski;Gdańsk;176;2878.40;0.539
8586;Joanna;Woźniak;Warszawa;344;2419.43;0.875
8587;Paweł;Wiśniewski;Łódź;240;4806.51;0.911
8588;Barbara;Kwiatkowski;Warszawa;423;2598.76;1.000
8589;Magdalena;Kowalski;Łódź;283;3705.12;1.000
8590;Joanna;Nowak;Poznań;179;3294.09;1.000
8591;Katarzyna;Mazur;Warszawa;337;1860.49;1.000
8592;Ewa;Zieliński;Lublin;252;1884.60;0.662
8593;Barbara;Dąbrowski;Lublin;158;4977.82;0.252
8594;Paweł;Kowalski;Kraków;37;3691.51;0.839
8595;Anna;Kwiatkowski;Warszawa;410;1833.61;1.000
8596;Agnieszka;Wójcik;Wrocław;257;3644.88;1.000
8597;Jan;Nowak;Lublin;415;3519.50;1.000
8598;Joanna;Szymański;Katowice;203;4921.05;0.965
8599;Paweł;Lewandowski;Gdańsk;325;2521.79;0.955
8600;Marcin;Zieliński;Brak danych;19;1150.03;0.548
8601;Tomasz;Kowalski;Łódź;449;3341.01;0.116
8602;Marcin;Wiśniewski;Kraków;405;1853.49;1.000
8603;Marcin;Wójcik;Gdańsk;237;755.78;0.989
8604;Piotr;Wiśniewski;Katowice;468;3200.24;0.853
8605;Anna;Szymański;Gdańsk;207;1080.89;0.193
8606;Agnieszka;Dąbrowski;Lublin;12;1811.51;1.000
8607;Jan;Wiśniewski;Warszawa;85;702.16;1.000
8608;Krzysztof;Wójcik;Łódź;77;2729.53;0.851
8609;Krzysztof;Nowak;Poznań;46;2349.63;0.314
8610;Piotr;Wiśniewski;Wrocław;476;2197.58;0.548
8611;Piotr;Mazur;Warszawa;54;53.88;0.516
8612;Michał;Dąbrowski;Gdańsk;19;2318.19;0.841
8613;Jan;Szymański;Warszawa;77;3617.75;1.000
8614;Marcin;Wiśniewski;Lublin;439;4151.56;0.286
8615;Michał;Dąbrowski;Poznań;155;962.47;0.155
8616;Piotr;Szymański;Łódź;138;1616.97;0.621
8617;Anna;Nowak;Lublin;388;2153.70;0.485
8618;Piotr;Wójcik;Katowice;133;2250.60;0.834
8619;Anna;Kwiatkowski;Kraków;291;1740.43;1.000
8620;Agnieszka;Kozłowski;Wrocław;429;1214.59;0.354
8621;Katarzyna;Szymański;Katowice;252;535.20;1.000
8622;Paweł;Kozłowski;Gdańsk;28;885.77;1.000
8623;Anna;Nowak;Lublin;494;1117.12;0.353
8624;Paweł;Szymański;Łódź;416;530.55;0.810
8625;Magdalena;Wójcik;Łódź;111;3490.68;0.950
8626;Paweł;Wiśniewski;Gdańsk;344;1522.73;1.000
8627;Joanna;Zieliński;Warszawa;106;3185.53;1.000
8628;Agnieszka;Kwiatkowski;Katowice;116;2471.83;0.343
8629;Ewa;Kowalczyk;Poznań;364;2060.05;1.000
8630;Tomasz;Zieliński;Kraków;292;3995.06;0.692
8631;Agnieszka;Dąbrowski;Gdańsk;450;200.72;0.527
8632;Michał;Zieliński;Poznań;403;1072.68;1.000
8633;Tomasz;Nowak;Warszawa;357;4130.34;0.398
8634;Paweł;Wójcik;Łódź;296;3561.88;0.238
8635;Michał;Kowalczyk;Wrocław;244;1768.75;0.177
8636;Jan;Szymański;Katowice;64;671.64;0.999
8637;Anna;Kamiński;Łódź;468;814.55;1.000
8638;Agnieszka;Nowak;Łódź;394;2333.76;0.494
8639;Paweł;Zieliński;Łódź;410;297.82;0.131
8640;Brak danych;Kowalczyk;Gdańsk;341;1566.36;1.000
8641;Katarzyna;Kozłowski;Wrocław;258;2979.34;0.210
8642;Krzysztof;Kamiński;Kraków;498;3221.17;0.485
8643;Magdalena;Zieliński;Warszawa;95;4648.69;0.423
8644;Anna;Nowak;Katowice;218;4483.17;0.996
8645;Agnieszka;Lewandowski;Kraków;-56;3301.73;0.638
8646;Jan;Wiśniewski;Lublin;350;3149.06;1.000
8647;Ewa;Dąbrowski;Wrocław;70;634.67;1.000
8648;Tomasz;Woźniak;Wrocław;158;4456.31;1.000
8649;Michał;Kamiński;Warszawa;463;3648.29;0.734
8650;Agnieszka;Woźniak;Kraków;249;3193.86;0.855
8651;Katarzyna;Wójcik;Warszawa;330;128.99;0.898
8652;Ewa;Zieliński;Katowice;305;3074.60;0.227
8653;Katarzyna;Woźniak;Wrocław;458;2781.96;1.000
8654;Katarzyna;Kowalski;Katowice;214;1131.70;0.193
8655;Andrzej;Kwiatkowski;Katowice;207;915.23;0.839
8656;Joanna;Kamiński;Wrocław;346;4632.49;0.219
8657;Paweł;Mazur;Łódź;464;4662.48;0.587
8658;Joanna;Wójcik;Poznań;252;0.00;1.000
8659;Krzysztof;Nowak;Kraków;434;3867.11;0.927
8660;Anna;Nowak;Lublin;298;2340.63;0.930
8661;Katarzyna;Nowak;Katowice;283;2757.28;1.000
8662;Paweł;Kamiński;Lublin;313;3126.42;0.910
8663;Agnieszka;Szymański;Wrocław;382;4707.22;1.000
8664;Michał;Dąbrowski;Łódź;444;2433.52;0.592
8665;Paweł;Lewandowski;Poznań;250;4336.37;0.727
8666;Tomasz;Lewandowski;Warszawa;228;510.30;0.203
8667;Joanna;Szymański;Poznań;411;582.43;1.000
8668;Krzysztof;Mazur;Katowice;394;2666.13;1.000
8669;Tomasz;Mazur;Wrocław;423;236.12;1.000
8670;Joanna;Zieliński;Gdańsk;457;3139.30;0.634
8671;Piotr;Mazur;Wrocław;190;4433.60;1.000
8672;Joanna;Wójcik;Poznań;298;4885.30;1.000
8673;Magdalena;Szymański;Poznań;229;2145.00;0.293
8674;Ewa;Mazur;Katowice;37;4047.04;0.143
8675;Ewa;Mazur;Katowice;163;3991.40;0.925
8676;Ewa;Mazur;Kraków;309;1010.31;1.000
8677;Jan;Dąbrowski;Wrocław;255;4743.89;0.468
8678;Joanna;Wójcik;Warszawa;302;1812.31;1.000
8679;Krzysztof;Kowalski;Kraków;435;637.95;0.608
8680;Katarzyna;Kamiński;Katowice;334;856.68;1.000
8681;Anna;Wiśniewski;Łódź;300;4395.64;1.000
8682;Andrzej;Kamiński;Łódź;413;4173.50;0.438
8683;Joanna;Szymański;Poznań;452;4354.59;0.435
8684;Andrzej;Szymański;Lublin;381;224.22;0.976
8685;Paweł;Wiśniewski;Warszawa;5;2392.64;0.162
8686;Michał;Woźniak;Gdańsk;56;2576.98;0.420
8687;Ewa;Dąbrowski;Wrocław;9;3428.15;0.492
8688;Barbara;Lewandowski;Kraków;394;279.51;0.633
8689;Jan;Kamiński;Warszawa;63;3956.43;1.000
8690;Piotr;Lewandowski;Warszawa;252;3199.13;0.775
8691;Andrzej;Kowalczyk;Poznań;50;2511.01;1.000
8692;Joanna;Mazur;Łódź;57;1925.39;0.956
8693;Piotr;Lewandowski;Katowice;409;3460.82;0.463
8694;Marcin;Kowalski;Katowice;364;3438.09;1.000
8695;Katarzyna;Kozłowski;Katowice;252;3381.88;0.480
8696;Andrzej;Zieliński;Warszawa;257;4700.98;1.000
8697;Magdalena;Kowalski;Kraków;201;1612.70;0.207
8698;Piotr;Kwiatkowski;Katowice;324;3622.85;0.848
8699;Paweł;Nowak;Warszawa;466;3718.59;0.985
8700;Jan;Lewandowski;Katowice;187;2476.15;0.287
8701;Paweł;Kozłowski;Wrocław;436;1195.01;0.501
8702;Joanna;Woźniak;Katowice;7;812.18;0.310
8703;Agnieszka;Kwiatkowski;Lublin;15;1511.60;0.454
8704;Anna;Dąbrowski;Gdańsk;264;1010.42;1.000
8705;Agnieszka;Lewandowski;Wrocław;425;3640.19;0.775
8706;Barbara;Nowak;Gdańsk;99;4676.22;1.000
8707;Piotr;Dąbrowski;Warszawa;185;2931.55;1.000
8708;Piotr;Kwiatkowski;Kraków;414;3080.18;1.000
8709;Michał;Lewandowski;Gdańsk;389;819.56;0.587
8710;Agnieszka;Wójcik;Poznań;252;4750.34;0.228
8711;Joanna;Wiśniewski;Wrocław;394;636.44;0.629
8712;Anna;Zieliński;Katowice;21;1193.49;0.200
8713;Barbara;Kwiatkowski;Poznań;243;1717.61;0.696
8714;Maria;Kowalski;Warszawa;237;2818.19;0.313
8715;Ewa;Lewandowski;Poznań;276;324.13;0.548
8716;Marcin;Nowak;Katowice;30;3406.91;1.000
8717;Maria;Woźniak;Łódź;5;2021.37;1.000
8718;Ewa;Kwiatkowski;Warszawa;392;4092.74;0.549
8719;Magdalena;Kowalczyk;Katowice;213;1664.12;1.000
8720;Katarzyna;Kowalski;Lublin;484;1693.34;1.000
8721;Katarzyna;Mazur;Warszawa;261;2102.71;0.324
8722;Jan;Kowalczyk;Poznań;278;3304.96;0.668
8723;Jan;Kozłowski;Warszawa;238;2541.28;0.292
8724;Paweł;Kowalczyk;Lublin;224;3206.00;1.000
8725;Piotr;Kozłowski;Warszawa;459;2746.48;0.769
8726;Krzysztof;Wiśniewski;Kraków;138;3612.61;0.268
8727;Barbara;Zieliński;Kraków;167;2866.01;0.217
8728;Magdalena;Woźniak;Kraków;184;4378.42;0.268
8729;Jan;Szymański;Katowice;161;2490.18;0.971
8730;Paweł;Wójcik;Łódź;372;1550.12;1.000
8731;Joanna;Dąbrowski;Poznań;398;2742.68;0.830
8732;Tomasz;Wiśniewski;Katowice;252;1488.03;0.230
8733;Barbara;Lewandowski;Wrocław;198;4709.58;0.944
8734;Piotr;Dąbrowski;Gdańsk;222;1655.90;0.868
8735;Krzysztof;Szymański;Gdańsk;171;2240.54;1.000
8736;Paweł;Lewandowski;Łódź;-139;4981.03;0.493
8737;Magdalena;Nowak;Łódź;363;4619.98;0.602
8738;Tomasz;Woźniak;Warszawa;99;4264.59;0.735
8739;Barbara;Mazur;Kraków;116;2021.69;0.427
8740;Paweł;Zieliński;Katowice;284;2128.16;0.368
8741;Maria;Wiśniewski;Kraków;72;2524.59;1.000
8742;Paweł;Lewandowski;Łódź;181;1426.02;0.504
8743;Katarzyna;Kwiatkowski;Lublin;353;1323.95;0.196
8744;Paweł;Dąbrowski;Warszawa;13;3107.76;0.753
8745;Paweł;Kwiatkowski;Kraków;17;1362.28;0.244
8746;Katarzyna;Wójcik;Warszawa;145;4320.41;0.708
8747;Magdalena;Mazur;Kraków;174;4855.37;1.000
8748;Barbara;Kamiński;Kraków;396;965.07;1.000
8749;Andrzej;Wójcik;Łódź;317;1706.77;0.341
8750;Krzysztof;Lewandowski;Katowice;25;4062.00;0.171
8751;Marcin;Kowalski;Lublin;47;818.57;0.458
8752;Agnieszka;Wójcik;Gdańsk;393;2575.45;0.351
8753;Joanna;Kamiński;Lublin;294;488.73;0.304
8754;Magdalena;Woźniak;Łódź;170;3082.59;0.632
